study,site,assessment.file,feeding.schedule.file,date,AdultBees_BH_mean,Honey_BH_mean,Pupae_BH_mean,Larvae_BH_mean,Pollen_BH_mean,ZeroAdultReps
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_12_FeedingSchedule.txt,3/21/2014,8106.85,14.59521365,2401.55,4293.55,348.4852785,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_12_FeedingSchedule.txt,4/21/2014,13130.05,12.69921618,10810.15,6379,913.850915,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_13_FeedingSchedule.txt,7/21/2013,1156.2,2.794572795,1011.7,0,53.59627068,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_13_FeedingSchedule.txt,8/21/2013,2032.2,9.487252049,393.25,543.85,27.03205911,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_13_FeedingSchedule.txt,9/21/2013,2195.45,20.98496,651.05,257.55,67.13311462,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_13_FeedingSchedule.txt,10/21/2013,2029.75,32.65864491,233.35,84.3,70.75323979,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_13_FeedingSchedule.txt,11/21/2013,1755.4,38.23585548,63.7,21.9,28.85860324,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_13_FeedingSchedule.txt,12/21/2013,1509,37.60643341,17.75,5.9,8.15865974,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_13_FeedingSchedule.txt,1/21/2014,1077,37.0351965,12.15,18.25,1.52501177,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_13_FeedingSchedule.txt,2/21/2014,802.75,36.64370325,224.75,159.9,15.5199365,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_13_FeedingSchedule.txt,3/21/2014,967.5,36.40707039,329.85,467.35,42.19942,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_13_FeedingSchedule.txt,4/21/2014,1544.4,36.23342566,1407.2,935.6,119.2382855,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_14_FeedingSchedule.txt,7/21/2013,10690.75,10.44039101,9805.5,794.4,512.2286067,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_14_FeedingSchedule.txt,8/21/2013,18391.15,15.65559648,8366.2,3327.25,640.7242912,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_14_FeedingSchedule.txt,9/21/2013,20663.55,19.50930586,4332.3,1704.9,606.2510021,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_14_FeedingSchedule.txt,10/21/2013,17576.65,25.78379871,1548.3,560.1,426.6399417,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_14_FeedingSchedule.txt,11/21/2013,14330.55,26.54569014,429.6,149.5,256.8648644,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_14_FeedingSchedule.txt,12/21/2013,13008.5,21.71849015,118.35,40.3,116.4938424,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_14_FeedingSchedule.txt,1/21/2014,10226.95,17.1591846,82.95,129.4,63.26603666,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_14_FeedingSchedule.txt,2/21/2014,8170.3,13.37632854,2375.7,1540.25,64.20061546,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_14_FeedingSchedule.txt,3/21/2014,7847.05,12.87871742,2432.9,4484.45,373.5244285,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_14_FeedingSchedule.txt,4/21/2014,12309.55,12.24795911,10770.55,6383.45,973.268755,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_15_FeedingSchedule.txt,7/21/2013,1156.2,2.794572795,1011.7,0,53.59627068,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_15_FeedingSchedule.txt,8/21/2013,2032.2,9.487252049,393.25,543.85,27.03205911,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_15_FeedingSchedule.txt,9/21/2013,1528.85,9.145307176,639.45,255.9,38.55737149,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_15_FeedingSchedule.txt,10/21/2013,1770.85,33.40323333,230.45,82.7,59.03138228,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_15_FeedingSchedule.txt,11/21/2013,1567.7,45.28076432,64.85,23,35.49238814,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_15_FeedingSchedule.txt,12/21/2013,1421.15,44.74124009,17.2,6.15,13.11394714,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_15_FeedingSchedule.txt,1/21/2014,1104.6,44.21925871,12.45,19.6,5.18498164,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_15_FeedingSchedule.txt,2/21/2014,907.15,43.77732839,269.25,180.6,12.69822441,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_15_FeedingSchedule.txt,3/21/2014,1030.9,43.37726698,328.05,544.95,44.2867215,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_15_FeedingSchedule.txt,4/21/2014,1817.2,42.60536672,1543.15,959.7,105.565955,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_16_FeedingSchedule.txt,7/21/2013,10690.75,10.44039101,9805.5,794.4,512.2286067,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_16_FeedingSchedule.txt,8/21/2013,18391.15,15.65559648,8366.2,3327.25,640.7242912,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_16_FeedingSchedule.txt,9/21/2013,16232.15,11.00317472,4322.75,1704.85,419.2258268,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_16_FeedingSchedule.txt,10/21/2013,15596.35,30.11178591,1540.05,558.1,419.0406484,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_16_FeedingSchedule.txt,11/21/2013,13390.3,37.44538634,431.1,151.4,238.0009279,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_16_FeedingSchedule.txt,12/21/2013,11999.25,32.84578511,115.7,40.55,97.35447018,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_16_FeedingSchedule.txt,1/21/2014,9362.3,28.60732957,79.85,125.95,48.75095935,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_16_FeedingSchedule.txt,2/21/2014,7593.9,25.08196631,2195.5,1439.15,75.99679018,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_16_FeedingSchedule.txt,3/21/2014,8623.25,22.29078084,2463.2,4370.7,385.8436515,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_16_FeedingSchedule.txt,4/21/2014,15223.2,17.63180135,11056.35,6334.75,864.701122,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_2_FeedingSchedule.txt,7/21/2013,10690.75,10.44039101,9805.5,794.4,512.2286067,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_2_FeedingSchedule.txt,8/21/2013,18391.15,15.65559648,8366.2,3327.25,640.7242912,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_2_FeedingSchedule.txt,9/21/2013,17857.05,12.41537101,4317.45,1699.2,454.2781253,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_2_FeedingSchedule.txt,10/21/2013,13611.8,11.04671629,1544.2,561.15,453.0300728,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_2_FeedingSchedule.txt,11/21/2013,10324.6,9.058247791,430.35,150.25,204.1139481,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_2_FeedingSchedule.txt,12/21/2013,7683.45,5.426628237,116.4,39.5,51.28281316,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_2_FeedingSchedule.txt,1/21/2014,5097.2,2.559475843,81.5,121.55,8.80845378,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_2_FeedingSchedule.txt,2/21/2014,2494.75,1.502884614,948.6,619.1,100.592994,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_2_FeedingSchedule.txt,3/21/2014,1920.3,2.354669513,1157.25,857.65,146.3000795,3
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_2_FeedingSchedule.txt,4/21/2014,3030.1,2.884846113,2587.65,1742.4,239.264735,3
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_3_FeedingSchedule.txt,7/21/2013,1156.2,2.794572795,1011.7,0,53.59627068,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_3_FeedingSchedule.txt,8/21/2013,2032.2,9.487252049,393.25,543.85,27.03205911,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_3_FeedingSchedule.txt,9/21/2013,1528.85,9.145307176,639.45,255.9,38.55737149,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_3_FeedingSchedule.txt,10/21/2013,1599.55,14.78866951,228.75,83.3,48.28221999,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_3_FeedingSchedule.txt,11/21/2013,1248.35,17.48046007,64.05,22.55,31.41346083,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_3_FeedingSchedule.txt,12/21/2013,963.8,17.0308969,17.9,6.2,7.43775233,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_3_FeedingSchedule.txt,1/21/2014,607.1,16.67387256,12.05,17.85,1.00281277,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_3_FeedingSchedule.txt,2/21/2014,386.4,16.50272293,130.15,96.85,18.660356,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_3_FeedingSchedule.txt,3/21/2014,365.7,16.54414746,242.45,186.5,22.870946,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_3_FeedingSchedule.txt,4/21/2014,497.45,16.77902524,505.35,309.4,48.738191,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_4_FeedingSchedule.txt,7/21/2013,10690.75,10.44039101,9805.5,794.4,512.2286067,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_4_FeedingSchedule.txt,8/21/2013,18391.15,15.65559648,8366.2,3327.25,640.7242912,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_4_FeedingSchedule.txt,9/21/2013,16232.15,11.00317472,4322.75,1704.85,419.2258268,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_4_FeedingSchedule.txt,10/21/2013,13633.8,12.1830241,1548.1,557,445.2352852,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_4_FeedingSchedule.txt,11/21/2013,10595.1,11.56898124,430.8,149.55,202.8269132,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_4_FeedingSchedule.txt,12/21/2013,8704.25,7.856239144,115.4,40.15,41.98359448,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_4_FeedingSchedule.txt,1/21/2014,5793.75,4.624884602,78.35,116.3,5.05885387,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_4_FeedingSchedule.txt,2/21/2014,3402.25,3.045439465,1171.45,778.6,147.7827795,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_4_FeedingSchedule.txt,3/21/2014,3649,3.986712068,2071.5,1761.75,205.3896945,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_4_FeedingSchedule.txt,4/21/2014,5289.2,6.651440351,4809.6,3307.25,506.715409,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_5_FeedingSchedule.txt,7/21/2013,1156.2,2.794572795,1011.7,0,53.59627068,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_5_FeedingSchedule.txt,8/21/2013,2032.2,9.487252049,393.25,543.85,27.03205911,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_5_FeedingSchedule.txt,9/21/2013,1839.85,15.04368861,653.35,257.75,51.45763561,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_5_FeedingSchedule.txt,10/21/2013,1864.25,20.49096308,231.4,84.4,62.16569313,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_5_FeedingSchedule.txt,11/21/2013,1475.3,23.08862679,64.7,22.65,34.64555687,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_5_FeedingSchedule.txt,12/21/2013,1296.45,22.57212102,17.9,6.1,9.14543587,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_5_FeedingSchedule.txt,1/21/2014,889.2,22.08218102,12.4,19,1.47472387,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_5_FeedingSchedule.txt,2/21/2014,565.65,21.83195744,190.35,129.8,17.240888,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_5_FeedingSchedule.txt,3/21/2014,529,22.27733428,200.4,246.4,31.624878,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_5_FeedingSchedule.txt,4/21/2014,783.6,22.24773815,620,478.85,65.7453015,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_6_FeedingSchedule.txt,7/21/2013,10690.75,10.44039101,9805.5,794.4,512.2286067,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_6_FeedingSchedule.txt,8/21/2013,18391.15,15.65559648,8366.2,3327.25,640.7242912,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_6_FeedingSchedule.txt,9/21/2013,19798.4,13.99439955,4323.05,1704.15,555.9627551,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_6_FeedingSchedule.txt,10/21/2013,16648.85,14.45097049,1544.15,555.1,447.6570801,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_6_FeedingSchedule.txt,11/21/2013,12496.25,13.2956689,428.7,151.35,215.1045767,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_6_FeedingSchedule.txt,12/21/2013,10501.25,8.877593267,118.55,39.5,42.37243071,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_6_FeedingSchedule.txt,1/21/2014,7081.95,4.941059224,78.85,116.15,2.87300375,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_6_FeedingSchedule.txt,2/21/2014,3880.2,3.245045532,1385.35,855.75,144.866406,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_6_FeedingSchedule.txt,3/21/2014,3850.05,4.924264464,2066.9,1837.85,225.298143,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_6_FeedingSchedule.txt,4/21/2014,5727,6.660909173,5138.5,3598.15,521.7189715,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_7_FeedingSchedule.txt,7/21/2013,1156.2,2.794572795,1011.7,0,53.59627068,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_7_FeedingSchedule.txt,8/21/2013,2032.2,9.487252049,393.25,543.85,27.03205911,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_7_FeedingSchedule.txt,9/21/2013,1528.85,9.145307176,639.45,255.9,38.55737149,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_7_FeedingSchedule.txt,10/21/2013,1566.3,20.97411158,233.25,83.25,48.81945243,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_7_FeedingSchedule.txt,11/21/2013,1368.95,26.70052154,64.7,22.65,39.61389816,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_7_FeedingSchedule.txt,12/21/2013,1293.75,26.22554422,17.9,5.85,19.73737066,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_7_FeedingSchedule.txt,1/21/2014,1097.25,25.78570375,11.8,20.45,11.84099616,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_7_FeedingSchedule.txt,2/21/2014,899.7,25.36045315,298.4,178.95,11.83453816,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_7_FeedingSchedule.txt,3/21/2014,955.85,25.28621073,354.45,572.45,61.0131015,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_7_FeedingSchedule.txt,4/21/2014,1401.5,25.65009859,1302.2,876.05,142.292205,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_8_FeedingSchedule.txt,7/21/2013,10690.75,10.44039101,9805.5,794.4,512.2286067,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_8_FeedingSchedule.txt,8/21/2013,18391.15,15.65559648,8366.2,3327.25,640.7242912,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_8_FeedingSchedule.txt,9/21/2013,16232.15,11.00317472,4322.75,1704.85,419.2258268,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_8_FeedingSchedule.txt,10/21/2013,14336.55,18.12046453,1544.15,558.8,439.5001006,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_8_FeedingSchedule.txt,11/21/2013,12057.85,19.86142948,430.85,149.6,265.417525,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_8_FeedingSchedule.txt,12/21/2013,10805.4,15.72913687,117.1,39.7,115.345122,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_8_FeedingSchedule.txt,1/21/2014,8647.75,11.88785513,83.95,129.35,61.90086986,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_8_FeedingSchedule.txt,2/21/2014,6607.95,8.810239334,2180.75,1321.45,114.2473822,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_8_FeedingSchedule.txt,3/21/2014,7199.2,8.904462407,2727.5,4114.2,411.7430565,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_8_FeedingSchedule.txt,4/21/2014,10370.75,11.94963194,9757.35,6189.1,1022.046433,0
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_9_FeedingSchedule.txt,7/21/2013,1156.2,2.794572795,1011.7,0,53.59627068,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_9_FeedingSchedule.txt,8/21/2013,2032.2,9.487252049,393.25,543.85,27.03205911,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_9_FeedingSchedule.txt,9/21/2013,2076.95,17.98445296,648.9,256.15,62.67811818,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_9_FeedingSchedule.txt,10/21/2013,2030.4,26.56881866,232.05,82.4,59.61593735,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_9_FeedingSchedule.txt,11/21/2013,1667.85,30.6477716,64.3,22.85,31.9479632,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_9_FeedingSchedule.txt,12/21/2013,1478,30.09058955,18,6,12.1369342,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_9_FeedingSchedule.txt,1/21/2014,1131.3,29.54966194,12.7,19.5,4.1112422,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_9_FeedingSchedule.txt,2/21/2014,772.4,29.16773506,254.35,164,16.993033,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_9_FeedingSchedule.txt,3/21/2014,841.2,29.12611819,334.6,489.5,53.1756845,17
LSCFS_2013_1,G,HICC_57_Nov2018.txt,Combi_HFS_9_FeedingSchedule.txt,4/21/2014,1096.4,29.59994061,1142.55,858.05,121.814944,17
LSCFS_2013_1,G,HICC_58_Nov2018.txt,Combi_HFS_1_FeedingSchedule.txt,7/21/2013,0,4.245880946,0,0,410.5593274,20
LSCFS_2013_1,G,HICC_58_Nov2018.txt,Combi_HFS_1_FeedingSchedule.txt,8/21/2013,0,11.88008095,0,0,410.5593274,20
LSCFS_2013_1,G,HICC_58_Nov2018.txt,Combi_HFS_1_FeedingSchedule.txt,9/21/2013,0,15.01888095,0,0,410.5593274,20
LSCFS_2013_1,G,HICC_58_Nov2018.txt,Combi_HFS_1_FeedingSchedule.txt,10/21/2013,0,18.15768095,0,0,410.5593274,20
